name,name_ingles,level,flavour,description,details,page,somatic,verbal,material,cost,gp,ritual,concentration,abjuracion,conjuracion,adivinacion,encantamiento,evocacion,ilusionismo,nigromancia,transmutacion,como_usar,Clase del Hechizo
Abrir,Knock,2,Tu magia te aleja de intrusiones no deseadas.,"Elige un objeto que puedas ver dentro del alcance. Puede ser una puerta, una caja, un cofre, unas esposas, un candado o cualquier otro objeto que posea alguna manera mágica o mundana de impedir el acceso.
Un objetivo que esté cerrado mediante una cerradura normal o que esté atascado o atrancado se abre, desatasca o desatranca. Si el objeto tiene varios cerrojos, solo se desbloquea uno de ellos.
Si el objetivo está cerrado mediante cerradura arcana, ese conjuro quedará anulado durante 10 minutos y, durante ese tiempo, el objeto se podrá abrir y cerrar.
Cuando lanzas el conjuro, se escucha un fuerte golpe surgir del objetivo, que es audible a una distancia de 90 m / 300 pies.","Instant.
18 m / 60 f / 12 cas
Acción",239 MdJ,FALSE,TRUE,FALSE,~,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Directo,"Bardo, Hechicero, Mago"
Acelerar,Haste,3,El tiempo corre a tu favor.,"Elige a una criatura voluntaria que puedas ver dentro del alcance. Hasta que el conjuro termine, la velocidad del objetivo se duplica, gana un bonificador de +2 a su clase de armadura, tiene ventaja en tiradas de salvaciónde Destreza y consigue una segunda acción en cada uno de sus turnos. Solo puede utilizar esta acción para llevara cabo una acción de atacar (solo un ataque), correr, destrabarse, esconderse o utilizar.
Cuando el conjuro termine, el objetivo tendrá el estado de incapacitado y una velocidad de 0 hasta el 0final de su siguiente turno, debido a una ola de somnolencia que lo afecta.","1 min
9 m / 30 f / 6 cas
Acción",239 MdJ,TRUE,TRUE,TRUE,~,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Directo,"Hechicero, Mago"
Adiviniación,Divination,4,Los presagios se revelan en susurros divinos.,"Este conjuro te pone en contacto con un dios o sus sirvientes. Puedes hacer una pregunta sobre un objetivo, un suceso o una actividad específicos que ocurrirán en los próximos 7 días. Tu DM te dará una respuesta verdadera, que puede ser una frase corta o una rima críptica. El conjuro no tiene en cuenta ninguna circunstancia que pueda alterarla respuesta, como por ejemplo el lanzamiento de otros conjuros.
Si lanzas el conjuro más de una vez antes de finalizar un descanso largo, hay una posibilidad acumulativa del 25 % por cada lanzamiento después del primero de que no recibas ninguna respuesta.","Instant.
Lanzador
Acción o ritual",239 MdJ,TRUE,TRUE,TRUE,25 po,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directo,"Druida, Clerigo, Mago"
Agarre electrizante,Shocking Grasp,Truco,La electricidad salta a tu alcance.,"Una descarga eléctrica surge de tu mano hacia una criatura que intentas tocar. Haz un ataque de conjuro cuerpo a cuerpo contra el objetivo. Si acierta, el objetivo recibirá 1d8 de daño de relámpago y no podrá realizar ataques de oportunidad hasta el principio de su siguiente turno.
Mejora de truco. El daño aumenta en 1d8 cuando alcanzas los niveles 5 (2d8), 11 (3d8) y 17 (4d8).","Instant.
Toque
Acción",239 MdJ,TRUE,TRUE,FALSE,~,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"D20+ata.conj,","Hechicero, Mago"
Agrandar / Reducir,Enlarge/Reduce,2,Un poco más o un poco menos.,"Hasta que el conjuro termine, aumenta o reduce el tamaño de una criatura u objeto que puedas ver dentro del alcance. Si el objetivo es un objeto, no puede estar llevándolo ni vistiéndolo nadie. Si es una criatura no voluntaria, puede hacer una tirada de salvación de Constitución, si la supera, el conjuro no tiene efecto. Todo lo que lleve el objetivo cambiará de tamaño y si lo suelta volverá a su tamaño normal. Un arma arrojadiza recuperará su tamaño justo después de llegar al objetivo.
Agrandar. El tamaño del objetivo aumenta en una categoría; p.e. de Mediano a Grande. El objetivo también tendrá ventaja en las pruebas y TdS de Fuerza. Además, sus ataques con o sin armas causan 1d4 de daño adicional al acertar.
Reducir. El tamaño del objetivo se reduce en una categoría. El objetivo también tendrá desventaja en las pruebas y TdS de Fuerza. Los ataques que haga mientras dure causan 1d4 menos de daño al acertar (minimo 1 de daño).","1 min
9 m / 30 f / 6 cas
Acción",239 MdJ*,TRUE,TRUE,TRUE,~,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TdS Con.,"Bardo, Druida, Hechicero, Mago"
Alarma,Alarm,1,Creas una alarma mental o sonora.,"Preparas una alarma contra los intrusos. Elige una puerta, una ventana o una zona dentro del alcance que no sea mayor que un cubo de 6 m / 20 pies de lado. Hasta que el conjuro termine, una alarma te alertará siempre que una criatura toque la zona vigilada o entre en ella. Al lanzar el conjuro, puedes designar qué criaturas no activarán la alarma, que puede ser mental o sonora:
Alarma mental. La alarma te avisará con un sonido dentro de tu mente si estás a 1,5 km / 5.000 pies o menos de la zona vigilada. Si estás durmiendo, te despertará.
Alarma sonora. La alarma producirá el sonido de una campanilla durante 10 segundos, que será audible a 18 m / 60 pies o menos de la zona vigilada.","8 h
9 m / 30 f / 6 cas
1 min",240 MdJ,TRUE,TRUE,TRUE,~,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directo,"Explorador, Mago"
Aliado planar,Planar Ally,6,Un campeón extraplanar responde a tu llamada.,"Invocas a una entidad conocida de otro mundo, que envía un celestial, elemental o infernal leal que aparece en un espacio libre dentro del alcance. La criatura no está obligada a obedecerte, pero puedes negociar un servicio a cambio de un pago (oro, objetos, sacrificios o misiones). El coste depende de la duración y el peligro de la tarea, y puede reducirse si coincide con sus valores. Al completar el acuerdo, o si no hay trato, la criatura regresa a su plano natal.
","Instant.
18 m / 60 f / 12 cas
10 min",240 MdJ*,TRUE,TRUE,FALSE,~,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directo,Clerigo
Aliento de dragón,Dragon's Breath,2,El aliento se vuelve arma.,"Tocas a una criatura voluntaria y eliges ácido, frío, fuego, relámpago o veneno. Hasta que el conjuro termine, el objetivo puede usar una acción de magia para exhalar en un cono de 4,5 m / 15 pies. Todas las criaturas situadas en la zona hacen una tirada de salvación de Destreza; sufrirán 3d6 de daño del tipo elegido si la fallan o la mitad del daño si la superan.
Con un espacio de conjuro de nivel superior. El daño aumenta en 1d6 por cada nivel por encima de 2 que tenga el espacio.","1 min
Toque
Acción adicional",240 MdJ,TRUE,TRUE,TRUE,~,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Directo,"Hechicero, Mago"
Alterar el propio aspecto,Alter Self,2,Tu rostro es una elección.,"Modificas tu forma física y eliges una opción; sus efectos duran mientras dure el conjuro y puedes usar una acción de magia para cambiarla por otra. Adaptación acuática: te salen branquias y membranas entre los dedos, puedes respirar bajo el agua y obtienes velocidad de nado igual a tu velocidad. Armas naturales: te crecen cascos (contundente), colmillos (perforante), cuernos (perforante) o garras (cortante); tus ataques sin armas con ese apéndice infligen 1d6 del tipo indicado y usas tu modificador por aptitud mágica para las tiradas de ataque y daño en lugar de Fuerza. Cambiar de aspecto: alteras tu apariencia física (altura, peso, rasgos, voz, pelo, tono de piel y detalles distintivos); puedes parecer de otra especie sin cambiar tu perfil, no puedes cambiar de tamaño ni tu forma básica, y puedes volver a modificar tu aspecto con una acción de magia mientras dure el conjuro.
","1 hora
Lanzador
Acción",240 MdJ*,TRUE,TRUE,FALSE,~,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Directo,"Hechicero, Mago"
Alterar los recuerdos,Modify Memory,5,Recuerdos que se doblan a tu voluntad.,"Una criatura que ves dentro del alcance hace una tirada de salvación de Sabiduría; si estás luchando contra ella, tiene ventaja. Si falla, queda hechizada mientras dura el conjuro, también incapacitada y no es consciente de su entorno, aunque puede oírte. Finaliza si recibe daño o otro conjuro.
Mientras dura el conjuro, puedes alterar cualquier efecto de memoria de las ultimas 24 horas y hasta 10 minutos de duración, cambiando lo que quieras de ello. Debes decribir los cambios verbalmente y la criatura debe entenderte. Si acabará el conjuro antes de finalizar, no se generan cambios.
Cualquier contradicción puede no afectar al comportamiento y los recuerdos ilógicos se descartan. Levantar maldición o restablecimiento mayor restauran la memoria.
Puedes cambiar 7 días de recuerdo con espacio conjuro nivel 6, 30 días con nivel 7, 365 días nivel 8 y cualquier momento con nivel 9.","1 min
9 m / 30 f / 6 cas
Acción",241 MdJ*,TRUE,TRUE,FALSE,~,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TdS Sab.,"Bardo, Mago"
